da,M,N,t,r_p,relerr,resid
3.00,243,201,19.0,0.70,1.068648e-04,5.590055e-04
3.00,366,314,24.1,0.70,2.966222e-05,7.347774e-05
3.00,546,451,29.0,0.70,2.037953e-06,2.196464e-05
3.00,723,614,34.0,0.70,7.296056e-07,1.011947e-06
3.00,926,801,39.0,0.70,3.185580e-08,1.587811e-07
3.00,1202,1014,44.0,0.70,5.064053e-09,2.074754e-08
3.00,1459,1251,49.0,0.70,8.888150e-10,3.499639e-09
2.00,243,201,19.0,0.70,1.254758e-04,4.044645e-03
2.00,366,314,24.1,0.70,4.597594e-05,3.718502e-04
2.00,546,451,29.0,0.70,8.991677e-06,8.051070e-05
2.00,723,614,34.0,0.70,1.393073e-06,9.207114e-06
2.00,926,801,39.0,0.70,4.582539e-08,1.280620e-06
2.00,1202,1014,44.0,0.70,7.837610e-09,1.098242e-07
2.00,1459,1251,49.0,0.70,2.250218e-09,2.847574e-08
1.50,243,201,19.0,0.70,2.504606e-03,4.293021e-02
1.50,366,314,24.1,0.70,8.218271e-04,4.845816e-03
1.50,546,451,29.0,0.70,2.572164e-04,1.524863e-03
1.50,723,614,34.0,0.70,4.967073e-05,5.453583e-04
1.50,926,801,39.0,0.70,1.169360e-06,1.261854e-04
1.50,1202,1014,44.0,0.70,3.253994e-07,2.094907e-05
1.50,1459,1251,49.0,0.70,1.373955e-07,1.987279e-05
1.20,243,201,19.0,0.70,5.960505e-02,2.888414e-01
1.20,366,314,24.1,0.70,5.697067e-02,1.487395e-01
1.20,546,451,29.0,0.70,2.145465e-02,3.193353e-02
1.20,723,614,34.0,0.70,8.400128e-03,4.122546e-02
1.20,926,801,39.0,0.70,7.636822e-04,1.359751e-02
1.20,1202,1014,44.0,0.70,7.569950e-04,6.755996e-03
1.20,1459,1251,49.0,0.70,3.164402e-04,9.600597e-03
