r_p,relerr,resid,cond
0.35,8.267733e-03,4.056722e-02,4.118614e+13
0.40,9.893234e-03,4.302603e-02,1.380004e+12
0.45,1.024960e-02,4.499745e-02,6.831287e+10
0.50,9.099598e-03,4.623693e-02,4.582913e+09
0.55,7.358699e-03,4.656518e-02,3.929281e+08
0.60,6.694617e-03,4.589397e-02,4.137204e+07
0.65,7.338332e-03,4.415897e-02,5.503796e+06
0.70,8.400128e-03,4.122546e-02,8.674766e+05
0.75,9.605752e-03,3.685078e-02,1.562414e+05
0.80,1.178499e-02,3.082549e-02,3.201497e+04
0.85,2.246251e-02,2.377034e-02,7.867114e+03
0.90,9.929435e-02,1.887418e-02,2.612623e+03
0.95,6.260556e-01,1.738282e-02,1.289630e+03
